Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-26,850956,NextGen Corporation,Yes,Retail,St. Lucia,outgoing,Jamaica,GBP,979487.5,858339.49
2024-01-15,763295,Innovative Services,No,Construction,St. Lucia,outgoing,Jamaica,USD,667363.93,767001.27
2024-01-24,686522,NextGen Services,No,Retail,St. Lucia,incoming,Canada,USD,525379.89,268156.36
2024-01-01,685747,Dynamic Corporation,Yes,Manufacturing,Barbados,outgoing,Barbados,EUR,855079.4,1142896.71
2024-01-21,677238,NextGen Services,No,Construction,St. Lucia,incoming,Germany,CAD,988490.59,823135.99
2024-01-12,650798,Global Industries,Yes,Finance,Cayman Islands,incoming,Germany,CAD,16325.59,7939.02
2024-01-26,140277,Innovative Services,No,Finance,Cayman Islands,incoming,United States,GBP,810603.73,882449.33
2024-01-08,433007,Tech Technologies,No,Used Car Sales,Bahamas,incoming,United Kingdom,GBP,575367.89,673047.9
2024-01-15,348697,Future Products,Yes,Manufacturing,Cayman Islands,outgoing,Canada,GBP,243389.5,217863.52
2024-01-08,877361,NextGen Products,Yes,Used Car Sales,Bahamas,incoming,Germany,CAD,151591.94,172340.58
2024-01-31,310478,Tech Industries,No,Finance,Barbados,incoming,United States,USD,523913.37,764380.34
2024-01-12,332977,NextGen Industries,Yes,Finance,Cayman Islands,incoming,Cayman Islands,GBP,769848.62,882916.8
2024-01-08,389737,Tech Corporation,No,Construction,Cayman Islands,outgoing,Canada,EUR,173012.08,63244.28
2024-01-08,261076,Eco Products,No,Finance,Barbados,incoming,Cayman Islands,EUR,783031.89,128779.98
2024-01-01,565818,Innovative Products,Yes,Microfinance,Bahamas,incoming,Jamaica,CAD,165245.14,174596.0
2024-01-20,599312,Dynamic Corporation,No,Finance,Bahamas,incoming,Mexico,GBP,57992.55,49985.7
2024-01-26,528955,Tech Solutions,No,Construction,Cayman Islands,incoming,Barbados,GBP,307923.41,152937.88
2024-01-19,799058,Eco Corporation,Yes,Retail,Cayman Islands,outgoing,France,USD,908672.4,838238.18
