Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-14,833633,Innovative Technologies,No,Technology,St. Lucia,incoming,Germany,EUR,724427.84,810521.4
2024-01-29,324286,NextGen Industries,No,Construction,Bahamas,incoming,Jamaica,EUR,755524.39,468465.15
2024-01-19,555921,Dynamic Corporation,No,Finance,Barbados,outgoing,Cayman Islands,CAD,210051.3,281619.22
2024-01-31,410426,NextGen Products,No,Retail,Bahamas,incoming,Mexico,CAD,19873.31,23817.26
2024-01-21,463910,NextGen Products,No,Finance,St. Lucia,outgoing,Cayman Islands,USD,914080.73,1158099.71
2024-01-09,481899,Future Industries,Yes,Finance,Bahamas,outgoing,Cayman Islands,USD,314429.85,465787.99
2024-01-05,564898,Future Corporation,No,Microfinance,Barbados,outgoing,United Kingdom,USD,534321.3,537575.74
2024-01-09,466501,Tech Technologies,No,Used Car Sales,Barbados,incoming,Mexico,EUR,859780.11,1000849.03
2024-01-15,445010,Innovative Products,Yes,Technology,Jamaica,incoming,France,EUR,44991.48,48307.62
2024-01-15,932348,Innovative Industries,No,Finance,Jamaica,outgoing,United Kingdom,EUR,701390.4,865637.87
2024-01-10,281183,NextGen Industries,No,Used Car Sales,Cayman Islands,outgoing,Bahamas,CAD,142231.2,78423.8
2024-01-18,168698,NextGen Products,Yes,Construction,Jamaica,incoming,United States,USD,600144.65,649946.52
2024-01-06,514033,Global Technologies,No,Microfinance,Barbados,incoming,United States,EUR,853040.64,374862.28
2024-01-03,951719,Tech Technologies,No,Finance,Barbados,outgoing,Germany,EUR,463078.4,190383.09
2024-01-15,629075,Dynamic Corporation,No,Retail,Jamaica,incoming,Italy,EUR,839632.56,1034517.42
2024-01-30,855738,Dynamic Services,Yes,Used Car Sales,Jamaica,incoming,France,USD,580261.93,573774.86
2024-01-29,218577,Dynamic Technologies,No,Microfinance,Barbados,incoming,Cayman Islands,USD,653393.26,697173.73
2024-01-17,135179,Dynamic Technologies,No,Technology,Cayman Islands,outgoing,Spain,CAD,648735.21,484855.17
2024-01-05,726665,Future Corporation,Yes,Finance,Bahamas,incoming,Barbados,EUR,471501.47,519242.66
2024-01-01,909284,NextGen Solutions,No,Retail,Barbados,incoming,Italy,GBP,556172.38,561937.29
2024-01-18,195978,Innovative Solutions,Yes,Microfinance,Barbados,incoming,Spain,GBP,669031.47,293731.38
2024-01-15,873554,NextGen Corporation,Yes,Construction,Bahamas,incoming,Canada,GBP,436839.14,134337.61
2024-01-07,205575,Innovative Solutions,No,Healthcare,Bahamas,incoming,United States,EUR,695387.79,735744.09
2024-01-22,923244,NextGen Solutions,Yes,Used Car Sales,Cayman Islands,incoming,United Kingdom,GBP,359567.07,185543.3
2024-01-05,354323,Dynamic Services,Yes,Retail,Jamaica,incoming,United States,GBP,169046.24,156982.21
2024-01-14,929433,Global Products,No,Microfinance,Barbados,outgoing,Jamaica,EUR,965934.97,1437042.8
2024-01-25,732859,Tech Solutions,No,Used Car Sales,Bahamas,outgoing,Germany,GBP,344687.22,3435.86
2024-01-05,838322,Future Services,No,Finance,Cayman Islands,outgoing,Bahamas,GBP,443183.25,561403.41
2024-01-30,526438,Innovative Corporation,Yes,Construction,Jamaica,outgoing,Jamaica,CAD,201240.0,61428.22
2024-01-05,185765,Global Industries,No,Technology,Barbados,incoming,Mexico,EUR,77044.96,96536.34
