Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-30,924976,Tech Services,Yes,Used Car Sales,Barbados,outgoing,Barbados,GBP,291551.1,312353.5
2024-01-30,908061,NextGen Products,Yes,Retail,Bahamas,incoming,Spain,CAD,22112.84,26863.99
2024-01-07,639166,NextGen Industries,Yes,Used Car Sales,Barbados,outgoing,Bahamas,EUR,834006.56,1016977.0
2024-01-10,806620,Dynamic Technologies,Yes,Retail,Barbados,outgoing,Spain,USD,279487.98,18282.97
2024-01-01,228340,Dynamic Products,Yes,Construction,Cayman Islands,incoming,Bahamas,GBP,147791.3,213805.66
2024-01-01,849731,NextGen Corporation,No,Technology,Jamaica,outgoing,France,GBP,199505.84,77513.23
2024-01-09,652589,NextGen Corporation,No,Healthcare,Bahamas,outgoing,Germany,GBP,591615.45,4294.29
2024-01-27,443706,Dynamic Services,No,Retail,Jamaica,outgoing,Canada,CAD,883658.52,1021877.02
2024-01-22,583236,Tech Services,No,Healthcare,St. Lucia,incoming,France,USD,442588.83,500305.07
2024-01-21,970635,NextGen Products,Yes,Finance,Cayman Islands,incoming,Barbados,CAD,912180.14,264559.91
2024-01-26,538967,NextGen Solutions,Yes,Retail,Jamaica,outgoing,Cayman Islands,EUR,622421.61,704489.24
2024-01-04,405406,Innovative Solutions,Yes,Used Car Sales,Bahamas,outgoing,Canada,USD,267206.45,19524.76
2024-01-30,934833,Dynamic Solutions,No,Used Car Sales,Jamaica,incoming,Jamaica,GBP,172203.95,59882.23
2024-01-07,292296,Tech Corporation,Yes,Technology,St. Lucia,outgoing,Italy,GBP,242091.74,172190.13
2024-01-26,781838,Innovative Services,No,Retail,Barbados,incoming,St. Lucia,GBP,116406.61,116958.89
2024-01-17,305335,NextGen Services,Yes,Finance,Cayman Islands,outgoing,St. Lucia,CAD,424351.21,348430.87
2024-01-10,226651,Future Technologies,No,Finance,St. Lucia,outgoing,Italy,USD,820198.44,633374.03
2024-01-24,873184,Innovative Products,No,Manufacturing,Cayman Islands,outgoing,Cayman Islands,USD,159915.58,172980.23
2024-01-22,531567,Global Technologies,Yes,Healthcare,Barbados,outgoing,St. Lucia,EUR,892570.82,1287275.61
2024-01-10,768205,Innovative Products,Yes,Healthcare,Cayman Islands,outgoing,St. Lucia,CAD,841019.64,868544.41
2024-01-11,209060,NextGen Technologies,Yes,Finance,Jamaica,incoming,Barbados,USD,740577.04,833389.85
2024-01-24,479347,Innovative Corporation,No,Finance,St. Lucia,incoming,Italy,EUR,242252.72,323984.72
2024-01-08,682807,Tech Solutions,No,Manufacturing,Barbados,outgoing,St. Lucia,EUR,916718.99,518685.38
2024-01-29,800178,Tech Technologies,Yes,Technology,Barbados,incoming,Italy,CAD,728177.41,1051720.47
2024-01-19,107723,Tech Industries,No,Construction,Cayman Islands,outgoing,Germany,EUR,846562.73,1151239.68
2024-01-23,138266,Innovative Technologies,Yes,Microfinance,St. Lucia,outgoing,Canada,USD,6862.6,1230.13
2024-01-22,119812,Dynamic Solutions,No,Healthcare,Cayman Islands,outgoing,St. Lucia,EUR,406027.08,521586.26
2024-01-28,181543,Innovative Services,Yes,Construction,St. Lucia,outgoing,Spain,USD,79323.47,78520.06
2024-01-14,882546,Dynamic Industries,No,Healthcare,Bahamas,incoming,France,GBP,465794.54,22797.03
2024-01-05,180545,Innovative Products,Yes,Used Car Sales,Bahamas,incoming,Germany,GBP,823920.86,73281.31
2024-01-31,393706,Dynamic Technologies,No,Manufacturing,Jamaica,incoming,United States,CAD,645034.32,692780.68
2024-01-20,642920,Future Corporation,No,Construction,Bahamas,incoming,Mexico,GBP,187875.25,229938.94
2024-01-16,979101,Innovative Products,No,Retail,Bahamas,incoming,Barbados,CAD,247629.6,137698.58
2024-01-03,515240,Future Industries,Yes,Manufacturing,St. Lucia,outgoing,Mexico,GBP,159681.43,194976.02
2024-01-27,354397,Dynamic Products,No,Used Car Sales,St. Lucia,incoming,Bahamas,CAD,266580.36,216205.96
2024-01-10,608806,Dynamic Technologies,No,Manufacturing,Barbados,outgoing,St. Lucia,USD,202098.04,235134.9
2024-01-03,602558,Global Solutions,No,Microfinance,Cayman Islands,incoming,Bahamas,CAD,670506.07,664735.12
2024-01-11,454478,Global Corporation,No,Finance,Barbados,outgoing,Canada,USD,187903.33,90830.29
2024-01-01,507322,NextGen Services,Yes,Construction,St. Lucia,outgoing,Jamaica,CAD,956712.11,1243879.17
2024-01-13,652751,Dynamic Industries,No,Technology,Barbados,outgoing,Barbados,GBP,282251.15,355459.56
2024-01-12,366913,Future Solutions,No,Microfinance,Bahamas,incoming,Jamaica,EUR,243474.02,318878.42
2024-01-05,173867,Innovative Corporation,No,Used Car Sales,Jamaica,incoming,Canada,USD,568073.02,134858.86
2024-01-09,759420,Eco Services,Yes,Technology,Barbados,outgoing,Canada,GBP,959910.37,1035782.36
2024-01-03,943553,NextGen Services,No,Used Car Sales,Barbados,incoming,France,USD,319769.64,400585.43
2024-01-08,320117,Future Solutions,No,Construction,Jamaica,incoming,France,CAD,953282.98,289634.02
2024-01-07,690459,Future Products,No,Finance,Cayman Islands,incoming,Mexico,USD,831135.29,17567.11
2024-01-08,484154,Innovative Industries,No,Used Car Sales,St. Lucia,incoming,Italy,CAD,732118.16,507227.98
2024-01-06,462666,Future Solutions,No,Technology,St. Lucia,incoming,United Kingdom,GBP,428504.77,622474.18
2024-01-29,343423,Innovative Industries,Yes,Finance,Bahamas,outgoing,Germany,EUR,9672.19,5020.71
2024-01-08,582992,Eco Services,No,Microfinance,Bahamas,incoming,Germany,GBP,189613.72,1652.62
