Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-22,313433,Future Products,No,Retail,Bahamas,outgoing,United Kingdom,GBP,489319.86,226294.83
2024-01-10,599688,NextGen Products,Yes,Retail,Cayman Islands,outgoing,Canada,USD,226096.39,270974.4
2024-01-07,584183,NextGen Technologies,No,Healthcare,Cayman Islands,outgoing,Germany,USD,7795.98,11671.95
2024-01-16,258157,Dynamic Products,No,Construction,St. Lucia,incoming,Bahamas,USD,797278.2,799124.99
2024-01-09,458384,Tech Industries,Yes,Construction,St. Lucia,incoming,Jamaica,USD,339837.82,341100.55
2024-01-30,128597,Dynamic Corporation,Yes,Technology,Cayman Islands,outgoing,Mexico,USD,402470.57,419906.45
2024-01-13,500450,Innovative Corporation,No,Manufacturing,St. Lucia,incoming,United States,GBP,237332.52,39548.73
2024-01-18,753072,Tech Technologies,No,Technology,Jamaica,incoming,Spain,CAD,936847.99,832260.47
2024-01-24,475257,Eco Technologies,No,Microfinance,Jamaica,outgoing,Bahamas,EUR,893282.91,35758.21
2024-01-10,348066,Future Solutions,No,Healthcare,Barbados,incoming,United States,CAD,911948.27,659101.98
2024-01-11,167885,Eco Corporation,No,Healthcare,Jamaica,incoming,Italy,CAD,170803.85,12534.62
2024-01-12,823176,Tech Technologies,Yes,Microfinance,Jamaica,incoming,Germany,GBP,857138.96,1092134.41
2024-01-16,192686,Tech Corporation,Yes,Manufacturing,Barbados,outgoing,St. Lucia,USD,669197.6,527381.94
2024-01-22,708426,Future Services,Yes,Used Car Sales,Cayman Islands,outgoing,Cayman Islands,USD,139939.14,2593.24
2024-01-20,488642,NextGen Products,Yes,Technology,St. Lucia,incoming,Cayman Islands,CAD,537186.26,432311.93
2024-01-03,368316,Dynamic Solutions,No,Microfinance,St. Lucia,incoming,Canada,CAD,627251.57,90645.24
2024-01-03,473365,Eco Industries,No,Used Car Sales,St. Lucia,incoming,Cayman Islands,GBP,576178.86,847157.28
2024-01-18,663175,Dynamic Corporation,No,Manufacturing,Cayman Islands,outgoing,Mexico,GBP,843556.45,295635.55
2024-01-01,902069,Eco Solutions,No,Finance,Bahamas,outgoing,Bahamas,GBP,702005.63,312719.79
2024-01-19,365855,Global Industries,No,Healthcare,Barbados,outgoing,St. Lucia,GBP,840498.72,77709.01
2024-01-01,244207,NextGen Corporation,No,Finance,Cayman Islands,incoming,Spain,USD,775577.67,815153.34
2024-01-14,874209,Tech Industries,Yes,Used Car Sales,Cayman Islands,outgoing,Bahamas,EUR,547495.14,348282.81
