Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-18,214777,Tech Technologies,No,Healthcare,Jamaica,incoming,Canada,CAD,362703.87,235973.38
2024-01-07,265512,Dynamic Services,Yes,Microfinance,Barbados,incoming,St. Lucia,USD,963122.94,1324155.35
2024-01-24,614519,Eco Products,Yes,Healthcare,Bahamas,incoming,Mexico,USD,542791.3,302732.55
2024-01-01,455856,Tech Products,No,Technology,Barbados,outgoing,Spain,CAD,266065.13,318943.04
2024-01-12,549860,Dynamic Products,No,Healthcare,Cayman Islands,incoming,Barbados,GBP,219405.43,219456.91
2024-01-12,702197,Innovative Products,No,Technology,St. Lucia,outgoing,Barbados,USD,91848.85,131916.97
2024-01-12,900979,NextGen Industries,Yes,Finance,Barbados,outgoing,France,GBP,984217.12,743348.19
2024-01-13,318338,Global Industries,Yes,Retail,Bahamas,incoming,France,USD,655421.63,771458.22
2024-01-02,828686,Eco Services,No,Manufacturing,Barbados,outgoing,United Kingdom,CAD,173240.23,2122.59
2024-01-20,412674,Innovative Services,No,Retail,Bahamas,incoming,Barbados,EUR,951767.74,901510.04
2024-01-02,322232,Tech Industries,No,Microfinance,Bahamas,incoming,Canada,USD,740836.77,968133.41
2024-01-23,387919,Dynamic Corporation,No,Healthcare,Cayman Islands,outgoing,Cayman Islands,GBP,60746.24,81674.24
2024-01-07,458202,Future Technologies,Yes,Microfinance,Bahamas,incoming,Germany,GBP,129350.83,168993.63
2024-01-30,833415,Eco Services,Yes,Construction,Bahamas,incoming,Spain,CAD,554867.34,28939.93
2024-01-09,833617,Tech Products,No,Construction,Bahamas,outgoing,Cayman Islands,CAD,364199.06,27791.54
2024-01-13,578689,Eco Services,No,Retail,Barbados,incoming,Barbados,USD,517881.4,145862.73
2024-01-15,392038,Eco Corporation,No,Used Car Sales,Jamaica,incoming,United States,CAD,805424.26,885477.91
2024-01-09,400760,Eco Technologies,Yes,Microfinance,Barbados,outgoing,Spain,CAD,355198.56,22615.81
2024-01-18,169424,Innovative Services,Yes,Healthcare,Barbados,outgoing,Jamaica,GBP,627402.35,826975.05
