Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-25,773380,Tech Industries,No,Used Car Sales,St. Lucia,incoming,Cayman Islands,GBP,288060.9,375697.93
2024-01-08,458358,Global Services,No,Finance,Bahamas,outgoing,France,GBP,66540.88,50192.72
2024-01-06,240376,NextGen Corporation,No,Construction,St. Lucia,incoming,St. Lucia,USD,454478.95,616275.25
2024-01-06,621917,Innovative Services,No,Microfinance,Barbados,incoming,United States,CAD,775304.98,841904.29
2024-01-04,733213,Future Industries,Yes,Construction,Jamaica,incoming,Mexico,GBP,94230.33,94902.85
2024-01-09,403088,Dynamic Corporation,Yes,Construction,Cayman Islands,outgoing,Germany,EUR,294875.3,297670.05
2024-01-18,956593,Global Services,Yes,Manufacturing,Bahamas,outgoing,Canada,EUR,81954.63,69404.02
2024-01-21,445004,Future Corporation,No,Manufacturing,Bahamas,outgoing,United Kingdom,EUR,890517.48,414433.1
2024-01-15,646461,NextGen Corporation,No,Healthcare,Cayman Islands,outgoing,Italy,EUR,478543.07,214616.62
2024-01-30,999741,Tech Corporation,Yes,Technology,Cayman Islands,incoming,Italy,CAD,823706.76,882289.64
2024-01-05,176329,Future Services,No,Technology,Bahamas,incoming,Germany,GBP,101004.9,61945.63
2024-01-13,301019,NextGen Technologies,No,Used Car Sales,Jamaica,incoming,Italy,EUR,282603.17,295754.65
2024-01-08,531079,Future Technologies,Yes,Retail,Jamaica,incoming,Mexico,GBP,142870.97,77648.34
2024-01-28,482648,Future Solutions,No,Technology,St. Lucia,incoming,Canada,USD,320503.3,267806.5
2024-01-29,717436,Dynamic Technologies,Yes,Manufacturing,Cayman Islands,outgoing,France,USD,816455.4,909016.48
2024-01-05,928281,Dynamic Industries,Yes,Retail,Bahamas,outgoing,France,GBP,344149.7,514757.39
2024-01-31,358683,Eco Technologies,No,Microfinance,Cayman Islands,incoming,Spain,GBP,6040.25,1728.94
2024-01-17,911522,Future Products,Yes,Used Car Sales,Bahamas,incoming,Canada,USD,961048.9,695020.56
2024-01-22,994114,Dynamic Industries,Yes,Finance,St. Lucia,incoming,Italy,CAD,629297.81,640506.98
2024-01-26,944035,Dynamic Industries,No,Construction,Cayman Islands,outgoing,Cayman Islands,GBP,815441.71,1218111.8
2024-01-30,257624,NextGen Services,No,Construction,Barbados,incoming,Germany,GBP,721888.93,387886.55
2024-01-27,115543,Global Services,No,Finance,Jamaica,incoming,St. Lucia,GBP,625594.28,152437.17
2024-01-19,333186,Global Corporation,No,Manufacturing,Bahamas,incoming,Bahamas,USD,636926.24,834108.02
2024-01-28,974808,Future Industries,Yes,Technology,Jamaica,outgoing,Italy,CAD,280911.17,356450.7
2024-01-13,249203,Global Products,Yes,Manufacturing,Jamaica,outgoing,Barbados,CAD,92354.3,41135.17
2024-01-18,767069,Innovative Technologies,No,Healthcare,Barbados,outgoing,United Kingdom,USD,904233.54,1277879.95
2024-01-16,606404,Tech Services,Yes,Finance,St. Lucia,incoming,Italy,CAD,305625.19,269450.07
2024-01-31,666982,NextGen Industries,No,Microfinance,Jamaica,outgoing,Cayman Islands,EUR,157150.75,230170.35
2024-01-19,432430,NextGen Technologies,Yes,Healthcare,Barbados,outgoing,Canada,CAD,527366.52,319955.73
2024-01-27,914857,Tech Services,Yes,Construction,Cayman Islands,outgoing,Jamaica,USD,245413.0,245627.21
2024-01-12,108897,Future Products,No,Microfinance,St. Lucia,incoming,France,CAD,170578.9,175112.24
2024-01-08,418893,NextGen Technologies,Yes,Microfinance,Cayman Islands,incoming,Spain,CAD,776981.38,126561.41
2024-01-04,784217,Tech Corporation,No,Healthcare,Cayman Islands,incoming,Bahamas,CAD,724730.11,984222.69
2024-01-16,266472,Innovative Industries,No,Microfinance,Barbados,incoming,Jamaica,GBP,676379.79,950091.19
2024-01-08,955359,Global Services,No,Microfinance,St. Lucia,incoming,Italy,GBP,669404.29,75019.26
2024-01-06,625560,Dynamic Services,No,Finance,Barbados,incoming,United States,USD,657351.43,742273.07
2024-01-03,623688,Eco Industries,No,Used Car Sales,Jamaica,incoming,Jamaica,CAD,305385.02,180134.83
2024-01-07,641744,Innovative Technologies,No,Manufacturing,Jamaica,outgoing,Cayman Islands,CAD,811810.06,970427.41
2024-01-26,171107,Innovative Services,No,Manufacturing,Jamaica,outgoing,Germany,GBP,338266.65,34473.83
2024-01-12,528424,Future Corporation,No,Used Car Sales,Cayman Islands,incoming,Spain,USD,336546.15,182105.6
2024-01-14,390805,Future Industries,Yes,Manufacturing,Barbados,outgoing,United Kingdom,USD,197800.96,291210.81
2024-01-03,405914,Eco Corporation,Yes,Retail,St. Lucia,incoming,Canada,USD,416047.9,255098.99
2024-01-18,625577,Global Services,No,Finance,St. Lucia,incoming,Italy,CAD,762130.55,328728.17
2024-01-08,950136,Dynamic Services,Yes,Microfinance,Jamaica,outgoing,Germany,EUR,650809.4,733235.55
2024-01-21,708927,NextGen Industries,Yes,Finance,Jamaica,outgoing,United Kingdom,GBP,758055.96,919362.3
2024-01-03,822280,Dynamic Services,No,Healthcare,Jamaica,incoming,Barbados,CAD,269140.93,250801.56
2024-01-07,921520,NextGen Corporation,No,Used Car Sales,Bahamas,incoming,Italy,GBP,752970.57,911497.35
2024-01-11,241750,Tech Products,No,Microfinance,St. Lucia,incoming,France,EUR,149259.67,87345.38
2024-01-16,413625,Tech Corporation,Yes,Finance,Cayman Islands,incoming,United Kingdom,EUR,821629.79,1103249.26
2024-01-31,542809,Innovative Services,Yes,Used Car Sales,Cayman Islands,outgoing,United States,CAD,605888.12,865180.03
