Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-18,148996,Tech Technologies,No,Healthcare,Barbados,incoming,United States,GBP,570641.05,14606.06
2024-01-23,317397,Dynamic Technologies,No,Microfinance,Barbados,incoming,Italy,USD,510465.71,709669.42
2024-01-04,567704,Eco Solutions,Yes,Used Car Sales,St. Lucia,outgoing,Cayman Islands,CAD,24803.7,16018.07
2024-01-13,714193,NextGen Services,Yes,Technology,St. Lucia,incoming,Mexico,GBP,933344.46,1070952.49
2024-01-23,473822,Eco Products,No,Retail,Cayman Islands,incoming,Cayman Islands,CAD,657642.93,31966.3
2024-01-28,853411,Global Corporation,Yes,Healthcare,St. Lucia,incoming,France,CAD,348291.46,141307.36
2024-01-12,301534,Eco Industries,Yes,Technology,St. Lucia,outgoing,Italy,CAD,346244.22,15762.92
2024-01-15,458596,Future Industries,No,Healthcare,Cayman Islands,incoming,Mexico,GBP,471676.72,537789.33
2024-01-26,132940,NextGen Industries,No,Microfinance,Cayman Islands,outgoing,Bahamas,CAD,534827.05,432182.31
2024-01-10,598512,Tech Services,No,Retail,Cayman Islands,outgoing,France,GBP,751952.62,595548.49
2024-01-14,510477,Eco Services,No,Microfinance,St. Lucia,incoming,St. Lucia,EUR,172476.41,51843.75
2024-01-12,932279,Dynamic Services,No,Technology,Barbados,incoming,Italy,USD,138082.8,69110.91
2024-01-16,671952,Tech Products,Yes,Finance,Jamaica,outgoing,Bahamas,CAD,252781.45,319518.67
2024-01-18,657072,Future Services,Yes,Used Car Sales,Jamaica,outgoing,Canada,CAD,1638.96,2079.41
2024-01-13,312101,Dynamic Services,Yes,Construction,Cayman Islands,outgoing,Germany,EUR,977676.79,521577.7
2024-01-26,630253,Global Industries,No,Technology,Cayman Islands,incoming,Mexico,USD,856971.57,1237429.16
2024-01-24,368685,NextGen Corporation,Yes,Technology,St. Lucia,outgoing,France,EUR,695191.29,387248.27
2024-01-08,656560,Eco Solutions,No,Microfinance,Jamaica,incoming,Germany,USD,229188.95,183255.22
2024-01-11,639538,Tech Solutions,No,Used Car Sales,Bahamas,outgoing,Spain,CAD,573814.78,795190.17
2024-01-07,700638,Tech Solutions,Yes,Used Car Sales,Barbados,incoming,Barbados,GBP,461055.33,523983.27
2024-01-09,836274,Dynamic Corporation,No,Construction,Cayman Islands,outgoing,United Kingdom,USD,971444.38,660515.28
2024-01-18,744192,Dynamic Industries,Yes,Microfinance,Bahamas,outgoing,United Kingdom,USD,331732.52,399273.3
2024-01-01,537365,NextGen Technologies,No,Construction,St. Lucia,outgoing,Spain,CAD,11060.05,14604.01
2024-01-25,914821,Global Corporation,Yes,Used Car Sales,Bahamas,incoming,Barbados,EUR,122016.56,72833.55
2024-01-28,840265,Global Technologies,Yes,Retail,Jamaica,incoming,Canada,CAD,735765.07,85829.79
2024-01-04,487433,Innovative Corporation,Yes,Retail,Jamaica,incoming,St. Lucia,CAD,105737.72,55664.48
2024-01-19,815852,Tech Solutions,Yes,Microfinance,St. Lucia,incoming,Italy,USD,897383.22,358025.0
2024-01-18,142265,Global Technologies,Yes,Retail,Bahamas,incoming,United Kingdom,GBP,493359.98,679344.12
2024-01-21,485111,Eco Technologies,No,Finance,Jamaica,incoming,Germany,EUR,106443.56,95617.36
2024-01-19,500410,Tech Technologies,No,Technology,Barbados,incoming,Mexico,GBP,508736.01,537926.32
2024-01-02,242714,Eco Corporation,No,Manufacturing,Jamaica,incoming,Canada,GBP,484667.12,715845.48
2024-01-13,801569,NextGen Industries,Yes,Technology,Bahamas,incoming,Italy,GBP,362420.88,317273.57
2024-01-08,163092,Tech Industries,Yes,Healthcare,St. Lucia,outgoing,Bahamas,GBP,248309.73,225393.43
2024-01-09,788417,Future Services,No,Construction,Barbados,outgoing,United Kingdom,USD,90466.93,36663.22
2024-01-02,962362,Tech Solutions,Yes,Finance,Cayman Islands,incoming,United States,CAD,623426.53,59208.21
2024-01-12,214745,Global Solutions,Yes,Healthcare,Bahamas,outgoing,Italy,EUR,961290.34,1172107.7
2024-01-21,327713,Global Solutions,Yes,Finance,Bahamas,outgoing,United Kingdom,GBP,563271.83,467170.3
2024-01-04,390465,Innovative Industries,No,Manufacturing,Cayman Islands,outgoing,St. Lucia,USD,449501.01,669460.08
2024-01-19,201404,Future Products,Yes,Finance,St. Lucia,outgoing,Bahamas,USD,93076.03,111340.07
2024-01-22,924698,Eco Products,No,Retail,Cayman Islands,incoming,Germany,GBP,521668.68,114845.06
2024-01-23,390933,Dynamic Technologies,No,Used Car Sales,Jamaica,incoming,France,GBP,268104.17,357883.0
2024-01-07,244365,Innovative Industries,Yes,Retail,Bahamas,incoming,Jamaica,CAD,729912.47,738852.67
2024-01-29,287423,Tech Solutions,Yes,Finance,St. Lucia,outgoing,St. Lucia,USD,415091.43,462883.31
2024-01-15,556390,Eco Services,No,Retail,St. Lucia,outgoing,United Kingdom,GBP,252310.37,248023.96
2024-01-14,683877,Dynamic Industries,No,Healthcare,Barbados,incoming,Bahamas,USD,356340.67,529130.29
2024-01-09,210985,Dynamic Solutions,No,Construction,St. Lucia,outgoing,United States,CAD,916878.28,621562.97
2024-01-04,869488,Global Corporation,No,Manufacturing,Bahamas,incoming,Barbados,GBP,495884.35,20392.23
2024-01-03,838555,Tech Solutions,Yes,Used Car Sales,Bahamas,incoming,Germany,USD,774523.52,798471.29
2024-01-10,474831,Eco Technologies,No,Technology,Jamaica,incoming,Canada,CAD,966430.21,762754.13
2024-01-27,616478,NextGen Solutions,No,Microfinance,Barbados,outgoing,Spain,USD,216331.08,155371.23
